directory_name,url,category,priority,expected_DR_gain,submission_difficulty,status,submitted_date,listing_url,notes
AlternativeTo,https://alternativeto.net,proprietary-ok,1,high (DR ~85),medium,pending,,,"List under 'Productivity' or 'Developer Tools' category — NOT the 'Open Source' filter (would mis-classify SPUR and waste the listing per product-marketing.md:10). Community-submitted; ship pre-launch so '[competitor] alternative' search traffic compounds before launch day."
TAAFT (There's An AI For That),https://theresanaiforthat.com,proprietary-ok,1,high (DR ~75),medium,pending,,,"Proprietary AI tools explicitly welcome. Free queue works; paid fast-track ($) exists. Launch-day batch."
Futurepedia,https://www.futurepedia.io,proprietary-ok,1,high (DR ~70),low,pending,,,"Free submission. Proprietary AI tools accepted by default. Launch-day batch — best DR-to-effort ratio in this list."
BetaList,https://betalist.com,proprietary-ok,1,medium (DR ~75),medium,pending,,,"Submit 2–3 weeks pre-launch for the 'upcoming' window. Curated; expect 1–3 week review delay. Proprietary OK."
G2,https://www.g2.com,proprietary-ok,2,high (DR ~90),medium,pending,,,"Vendor can self-list a profile pre-launch; reviews require post-launch customers. Free 'Users Love Us' badge at 20 reviews. Run the 10-in-30 review protocol after launch."
SaaSHub,https://www.saashub.com,proprietary-ok,2,medium (DR ~60),low,pending,,,"Ship pre-launch — ongoing-discovery directory; compounds via '[competitor] alternatives' queries before launch day."
DevHunt,https://devhunt.org,proprietary-ok,2,medium (DR ~40),low,pending,,,"Dev-tool focused. Proprietary OK. Launch-day batch."
Fazier,https://fazier.com,proprietary-ok,2,medium (DR ~40),low,pending,,,"Launch directory, PH-style. Proprietary OK. Launch-day batch (Tier 1 in the launch skill)."
Toolify,https://www.toolify.ai,proprietary-ok,2,medium (DR ~55),low,pending,,,"AI tool directory; proprietary OK; high traffic. Launch-day batch."
AI Agents Directory,https://aiagentsdirectory.com,proprietary-ok,2,medium (DR ~35),low,pending,,,"Catches the 'multi-agent orchestrator' + 'agent control plane' category SPUR uniquely owns (see _summary-indirect.md). Target this listing — niche but high-intent."
Uneed,https://www.uneed.best,proprietary-ok,3,low (DR ~50),low,pending,,,"Indie SaaS launches; proprietary OK; weekly newsletter distribution."
StartupBase,https://startupbase.io,proprietary-ok,3,low (DR ~45),low,pending,,,"Startup directory; proprietary OK. Ship pre-launch."
ai-agents-directory.com,https://ai-agents-directory.com,proprietary-ok,3,low (DR ~25),low,pending,,,"verify: confirm distinct from aiagentsdirectory.com before submitting (similar names, possibly clone). Proprietary appears OK based on existing listings."
AI Tools Directory,https://aitoolsdirectory.com,proprietary-ok,4,low (DR ~30),low,pending,,,"verify: many low-DR clones use this exact name. Confirm Ahrefs DR > 20 and editorial quality before submission per skill rule #2 (don't dilute backlink profile)."
Capterra,https://www.capterra.com,proprietary-ok,4,high (DR ~90),high,skip-for-now,,,"verify + defer: listing does not strictly require customer count, but Gartner Digital Markets visibility requires 5+ reviews and active sales motion. Skip per task constraint until 10+ paying customers exist. Auto-syncs from G2 in some categories."
ReplaceManual.com,https://replacemanual.com,mixed,5,low,low,skip,,,"verify: site appears low-traffic / possibly defunct as of last check. Do not submit until confirmed live with DR > 10 and recent editorial activity."
Awesome-MCP,https://github.com/punkpeye/awesome-mcp-servers,oss-only,5,n/a,n/a,skip,,,"SKIP per V1.3 (product-marketing.md:218): requires public OSS repo. SPUR is proprietary (product-marketing.md:10). Workaround: if/when the ACP client crate is open-sourced (product-marketing.md:103), submit that crate as a standalone entry — not the SPUR product."
MCP Registry,https://registry.modelcontextprotocol.io,oss-only,5,n/a,n/a,skip,,,"verify + skip: official Anthropic registry catalogs MCP *servers*. SPUR is an MCP *client/orchestrator*, not a server — wrong shape. Revisit only if SPUR ships a standalone MCP server crate."
Product Hunt,https://www.producthunt.com,proprietary-ok,1,high (DR ~91),high,tracked-elsewhere,,,"Anchor launch event — tracked in the PH-specific playbook (marketing/launch/producthunt-plan.md, separate task). Not duplicated here to avoid two sources of truth. 3-week prep timeline applies per directory-submissions skill."
